updateDate,symbol,code,code_name,industry,industryClassification
2026-06-22,SH600116,sh.600116,三峡水利,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600117,sh.600117,西宁特钢,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600118,sh.600118,中国卫星,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600119,sh.600119,*ST长投,G54道路运输业,证监会行业分类
2026-06-22,SH600120,sh.600120,浙江东方,J69其他金融业,证监会行业分类
2026-06-22,SH600121,sh.600121,郑州煤电,B06煤炭开采和洗选业,证监会行业分类
2026-06-22,SH600122,sh.600122,*ST宏图,,证监会行业分类
2026-06-22,SH600123,sh.600123,兰花科创,B06煤炭开采和洗选业,证监会行业分类
2026-06-22,SH600125,sh.600125,铁龙物流,G53铁路运输业,证监会行业分类
2026-06-22,SH600126,sh.600126,杭钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600127,sh.600127,金健米业,C13农副食品加工业,证监会行业分类
2026-06-22,SH600128,sh.600128,苏豪弘业,F51批发业,证监会行业分类
2026-06-22,SH600129,sh.600129,太极集团,C27医药制造业,证监会行业分类
2026-06-22,SH600130,sh.600130,波导股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600131,sh.600131,国网信通,I65软件和信息技术服务业,证监会行业分类
2026-06-22,SH600132,sh.600132,重庆啤酒,C15酒、饮料和精制茶制造业,证监会行业分类
2026-06-22,SH600133,sh.600133,东湖高新,N77生态保护和环境治理业,证监会行业分类
2026-06-22,SH600135,sh.600135,乐凯胶片,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600136,sh.600136,ST明诚,R87广播、电视、电影和录音制作业,证监会行业分类
2026-06-22,SH600137,sh.600137,浪莎股份,C18纺织服装、服饰业,证监会行业分类
2026-06-22,SH600138,sh.600138,中青旅,L72商务服务业,证监会行业分类
2026-06-22,SH600139,sh.600139,*ST西源,,证监会行业分类
2026-06-22,SH600141,sh.600141,兴发集团,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600143,sh.600143,金发科技,C29橡胶和塑料制品业,证监会行业分类
2026-06-22,SH600145,sh.600145,退市新亿,,证监会行业分类
2026-06-22,SH600146,sh.600146,退市环球,,证监会行业分类
2026-06-22,SH600148,sh.600148,长春一东,C36汽车制造业,证监会行业分类
2026-06-22,SH600149,sh.600149,廊坊发展,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600150,sh.600150,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2026-06-22,SH600151,sh.600151,航天机电,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600152,sh.600152,维科技术,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600153,sh.600153,建发股份,L72商务服务业,证监会行业分类
2026-06-22,SH600155,sh.600155,华创云信,J67资本市场服务,证监会行业分类
